depth,latitude,longitude,time,thetao
0.494025,20,107,1/03/2009,21.869411
0.494025,20,107,2/03/2009,21.684835
0.494025,20,107,3/03/2009,21.556658
0.494025,20,107,4/03/2009,21.855495
0.494025,20,107,5/03/2009,22.062777
0.494025,20,107,6/03/2009,21.983673
0.494025,20,107,7/03/2009,21.944853
0.494025,20,107,8/03/2009,21.918486
0.494025,20,107,9/03/2009,21.678976
0.494025,20,107,10/03/2009,21.77053
0.494025,20,107,11/03/2009,21.870144
0.494025,20,107,12/03/2009,21.897243
0.494025,20,107,13/03/2009,21.693624
0.494025,20,107,14/03/2009,21.24244
0.494025,20,107,15/03/2009,20.959715
0.494025,20,107,16/03/2009,20.927488
0.494025,20,107,17/03/2009,21.019775
0.494025,20,107,18/03/2009,21.03882
0.494025,20,107,19/03/2009,21.357433
0.494025,20,107,20/03/2009,21.913359
0.494025,20,107,21/03/2009,21.925077
0.494025,20,107,22/03/2009,22.140415
0.494025,20,107,23/03/2009,22.490524
0.494025,20,107,24/03/2009,22.810602
0.494025,20,107,25/03/2009,22.79156
0.494025,20,107,26/03/2009,23.009094
0.494025,20,107,27/03/2009,23.1153
0.494025,20,107,28/03/2009,23.165106
0.494025,20,107,29/03/2009,22.8128
0.494025,20,107,30/03/2009,22.523483
0.494025,20,107,31/03/2009,22.22831
0.494025,20,107,1/04/2009,21.664328
0.494025,20,107,2/04/2009,21.435072
0.494025,20,107,3/04/2009,21.947783
0.494025,20,107,4/04/2009,22.672903
0.494025,20,107,5/04/2009,22.437788
0.494025,20,107,6/04/2009,22.085482
0.494025,20,107,7/04/2009,22.143345
0.494025,20,107,8/04/2009,22.404827
0.494025,20,107,9/04/2009,22.667776
0.494025,20,107,10/04/2009,22.90875
0.494025,20,107,11/04/2009,23.337961
0.494025,20,107,12/04/2009,23.34309
0.494025,20,107,13/04/2009,23.84628
0.494025,20,107,14/04/2009,24.44908
0.494025,20,107,15/04/2009,24.347271
0.494025,20,107,16/04/2009,25.022583
0.494025,20,107,17/04/2009,25.532364
0.494025,20,107,18/04/2009,25.685446
0.494025,20,107,19/04/2009,25.432753
0.494025,20,107,20/04/2009,25.421766
0.494025,20,107,21/04/2009,25.889065
0.494025,20,107,22/04/2009,26.287514
0.494025,20,107,23/04/2009,26.298502
0.494025,20,107,24/04/2009,26.40031
0.494025,20,107,25/04/2009,25.924223
0.494025,20,107,26/04/2009,25.489151
0.494025,20,107,27/04/2009,25.335337
0.494025,20,107,28/04/2009,25.196173
0.494025,20,107,29/04/2009,25.176397
0.494025,20,107,30/04/2009,25.114872
0.494025,20,107,1/05/2009,25.110477
